geo_id,geo_id2,naics_id,naics_meaning,zip_code,location,year,num_establishments,num_paid_employees,first_quarter_payroll,annual_payroll
8610000US01094,1094,0,Total for all sectors,1094.0,"Wheelwright, MA",2016,3,a,D,D
8610000US01095,1095,0,Total for all sectors,1095.0,"Wilbraham, MA",2016,290,3854,29979,137703
8610000US01096,1096,0,Total for all sectors,1096.0,"Williamsburg, MA",2016,53,412,3326,14051
8610000US01097,1097,0,Total for all sectors,1097.0,"Woronoco, MA",2016,2,a,D,D
8610000US01098,1098,0,Total for all sectors,1098.0,"Worthington, MA",2016,19,93,686,3483
8610000US01101,1101,0,Total for all sectors,1101.0,"Springfield, MA",2016,19,700,4989,19024
8610000US01102,1102,0,Total for all sectors,1102.0,"Springfield, MA",2016,17,2981,61825,228477
8610000US01103,1103,0,Total for all sectors,1103.0,"Springfield, MA",2016,448,6313,59294,263222
8610000US01104,1104,0,Total for all sectors,1104.0,"Springfield, MA",2016,531,14552,190555,845201
8610000US01105,1105,0,Total for all sectors,1105.0,"Springfield, MA",2016,272,6320,55185,234345
8610000US01106,1106,0,Total for all sectors,1106.0,"Longmeadow, MA",2016,270,3724,27613,119418
8610000US01107,1107,0,Total for all sectors,1107.0,"Springfield, MA",2016,151,2545,35469,164749
8610000US01108,1108,0,Total for all sectors,1108.0,"Springfield, MA",2016,268,2576,16651,72768
8610000US01109,1109,0,Total for all sectors,1109.0,"Springfield, MA",2016,296,8403,65992,289895
8610000US01111,1111,0,Total for all sectors,1111.0,"Springfield, MA",2016,15,h,D,D
8610000US01115,1115,0,Total for all sectors,1115.0,"Springfield, MA",2016,45,799,48811,112855
8610000US01116,1116,0,Total for all sectors,1116.0,"Longmeadow, MA",2016,5,b,D,D
8610000US01118,1118,0,Total for all sectors,1118.0,"Springfield, MA",2016,130,1487,12177,50749
8610000US01119,1119,0,Total for all sectors,1119.0,"Springfield, MA",2016,147,3930,23773,106631
8610000US01128,1128,0,Total for all sectors,1128.0,"Springfield, MA",2016,52,833,4212,18233
8610000US01129,1129,0,Total for all sectors,1129.0,"Springfield, MA",2016,158,2627,14409,59594
8610000US01138,1138,0,Total for all sectors,1138.0,"Springfield, MA",2016,8,25,115,556
