GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US01083,01083,"ZIP 01083 (Warren, MA)",00,Total for all sectors,2016,32,226,3168,12625
8610000US01084,01084,"ZIP 01084 (West Chesterfield, MA)",00,Total for all sectors,2016,5,31,239,1359
8610000US01085,01085,"ZIP 01085 (Westfield, MA)",00,Total for all sectors,2016,865,14123,138686,594905
8610000US01086,01086,"ZIP 01086 (Westfield, MA)",00,Total for all sectors,2016,16,792,5763,27188
8610000US01088,01088,"ZIP 01088 (West Hatfield, MA)",00,Total for all sectors,2016,31,323,3094,12945
8610000US01089,01089,"ZIP 01089 (West Springfield, MA)",00,Total for all sectors,2016,974,16099,153919,659392
8610000US01090,01090,"ZIP 01090 (West Springfield, MA)",00,Total for all sectors,2016,15,93,1099,5644
8610000US01092,01092,"ZIP 01092 (West Warren, MA)",00,Total for all sectors,2016,16,61,409,2088
8610000US01093,01093,"ZIP 01093 (Whately, MA)",00,Total for all sectors,2016,31,785,9071,37390
8610000US01094,01094,"ZIP 01094 (Wheelwright, MA)",00,Total for all sectors,2016,3,a,D,D
8610000US01095,01095,"ZIP 01095 (Wilbraham, MA)",00,Total for all sectors,2016,290,3854,29979,137703
8610000US01096,01096,"ZIP 01096 (Williamsburg, MA)",00,Total for all sectors,2016,53,412,3326,14051
8610000US01097,01097,"ZIP 01097 (Woronoco, MA)",00,Total for all sectors,2016,2,a,D,D
8610000US01098,01098,"ZIP 01098 (Worthington, MA)",00,Total for all sectors,2016,19,93,686,3483
8610000US01101,01101,"ZIP 01101 (Springfield, MA)",00,Total for all sectors,2016,19,700,4989,19024
8610000US01102,01102,"ZIP 01102 (Springfield, MA)",00,Total for all sectors,2016,17,2981,61825,228477
8610000US01103,01103,"ZIP 01103 (Springfield, MA)",00,Total for all sectors,2016,448,6313,59294,263222
8610000US01104,01104,"ZIP 01104 (Springfield, MA)",00,Total for all sectors,2016,531,14552,190555,845201
8610000US01105,01105,"ZIP 01105 (Springfield, MA)",00,Total for all sectors,2016,272,6320,55185,234345
8610000US01106,01106,"ZIP 01106 (Longmeadow, MA)",00,Total for all sectors,2016,270,3724,27613,119418
8610000US01107,01107,"ZIP 01107 (Springfield, MA)",00,Total for all sectors,2016,151,2545,35469,164749
8610000US01108,01108,"ZIP 01108 (Springfield, MA)",00,Total for all sectors,2016,268,2576,16651,72768
8610000US01109,01109,"ZIP 01109 (Springfield, MA)",00,Total for all sectors,2016,296,8403,65992,289895
8610000US01111,01111,"ZIP 01111 (Springfield, MA)",00,Total for all sectors,2016,15,h,D,D
8610000US01115,01115,"ZIP 01115 (Springfield, MA)",00,Total for all sectors,2016,45,799,48811,112855
8610000US01116,01116,"ZIP 01116 (Longmeadow, MA)",00,Total for all sectors,2016,5,b,D,D
8610000US01118,01118,"ZIP 01118 (Springfield, MA)",00,Total for all sectors,2016,130,1487,12177,50749
8610000US01119,01119,"ZIP 01119 (Springfield, MA)",00,Total for all sectors,2016,147,3930,23773,106631
8610000US01128,01128,"ZIP 01128 (Springfield, MA)",00,Total for all sectors,2016,52,833,4212,18233
8610000US01129,01129,"ZIP 01129 (Springfield, MA)",00,Total for all sectors,2016,158,2627,14409,59594
8610000US01138,01138,"ZIP 01138 (Springfield, MA)",00,Total for all sectors,2016,8,25,115,556
8610000US01139,01139,"ZIP 01139 (Springfield, MA)",00,Total for all sectors,2016,2,c,D,D
8610000US01144,01144,"ZIP 01144 (Springfield, MA)",00,Total for all sectors,2016,51,1098,23823,92530
8610000US01151,01151,"ZIP 01151 (Indian Orchard, MA)",00,Total for all sectors,2016,144,1863,29730,117627
8610000US01152,01152,"ZIP 01152 (Springfield, MA)",00,Total for all sectors,2016,2,a,D,D
8610000US01199,01199,"ZIP 01199 (Springfield, MA)",00,Total for all sectors,2016,5,i,D,D
8610000US01201,01201,"ZIP 01201 (Pittsfield, MA)",00,Total for all sectors,2016,1287,23749,303998,1238125
8610000US01202,01202,"ZIP 01202 (Pittsfield, MA)",00,Total for all sectors,2016,33,356,7113,27672
8610000US01203,01203,"ZIP 01203 (Pittsfield, MA)",00,Total for all sectors,2016,1,a,D,D
8610000US01220,01220,"ZIP 01220 (Adams, MA)",00,Total for all sectors,2016,159,1549,14872,60506
8610000US01222,01222,"ZIP 01222 (Ashley Falls, MA)",00,Total for all sectors,2016,17,42,377,1824
8610000US01223,01223,"ZIP 01223 (Becket, MA)",00,Total for all sectors,2016,42,254,1991,12092
8610000US01224,01224,"ZIP 01224 (Berkshire, MA)",00,Total for all sectors,2016,3,a,D,D
8610000US01225,01225,"ZIP 01225 (Cheshire, MA)",00,Total for all sectors,2016,54,383,3370,16637
8610000US01226,01226,"ZIP 01226 (Dalton, MA)",00,Total for all sectors,2016,122,1319,23023,73883
8610000US01227,01227,"ZIP 01227 (Dalton, MA)",00,Total for all sectors,2016,5,54,347,1947
8610000US01229,01229,"ZIP 01229 (Glendale, MA)",00,Total for all sectors,2016,3,11,128,824
8610000US01230,01230,"ZIP 01230 (Great Barrington, MA)",00,Total for all sectors,2016,417,4839,43740,184770
8610000US01235,01235,"ZIP 01235 (Hinsdale, MA)",00,Total for all sectors,2016,49,218,1375,7400
8610000US01236,01236,"ZIP 01236 (Housatonic, MA)",00,Total for all sectors,2016,43,476,3792,16285
8610000US01237,01237,"ZIP 01237 (Lanesboro, MA)",00,Total for all sectors,2016,123,1693,8913,34795
8610000US01238,01238,"ZIP 01238 (Lee, MA)",00,Total for all sectors,2016,282,2971,22511,95936
8610000US01240,01240,"ZIP 01240 (Lenox, MA)",00,Total for all sectors,2016,248,3444,24844,111885
8610000US01242,01242,"ZIP 01242 (Lenox Dale, MA)",00,Total for all sectors,2016,17,128,943,4225
8610000US01243,01243,"ZIP 01243 (Middlefield, MA)",00,Total for all sectors,2016,6,28,166,665
8610000US01244,01244,"ZIP 01244 (Mill River, MA)",00,Total for all sectors,2016,3,b,D,D
8610000US01245,01245,"ZIP 01245 (Monterey, MA)",00,Total for all sectors,2016,24,156,993,5054
8610000US01247,01247,"ZIP 01247 (North Adams, MA)",00,Total for all sectors,2016,330,3843,30101,127350
8610000US01252,01252,"ZIP 01252 (North Egremont, MA)",00,Total for all sectors,2016,4,5,48,296
8610000US01253,01253,"ZIP 01253 (Otis, MA)",00,Total for all sectors,2016,33,133,690,3046
8610000US01254,01254,"ZIP 01254 (Richmond, MA)",00,Total for all sectors,2016,30,73,474,2442
8610000US01255,01255,"ZIP 01255 (Sandisfield, MA)",00,Total for all sectors,2016,20,117,939,4887
8610000US01256,01256,"ZIP 01256 (Savoy, MA)",00,Total for all sectors,2016,5,14,166,695
8610000US01257,01257,"ZIP 01257 (Sheffield, MA)",00,Total for all sectors,2016,110,1036,11407,49388
8610000US01258,01258,"ZIP 01258 (South Egremont, MA)",00,Total for all sectors,2016,33,434,1846,6610
8610000US01259,01259,"ZIP 01259 (Southfield, MA)",00,Total for all sectors,2016,25,82,577,3599
8610000US01260,01260,"ZIP 01260 (South Lee, MA)",00,Total for all sectors,2016,12,523,6416,24978
8610000US01262,01262,"ZIP 01262 (Stockbridge, MA)",00,Total for all sectors,2016,78,1509,13122,56572
8610000US01264,01264,"ZIP 01264 (Tyringham, MA)",00,Total for all sectors,2016,1,a,D,D
8610000US01266,01266,"ZIP 01266 (West Stockbridge, MA)",00,Total for all sectors,2016,44,133,1058,5806
8610000US01267,01267,"ZIP 01267 (Williamstown, MA)",00,Total for all sectors,2016,213,3534,41015,185882
8610000US01270,01270,"ZIP 01270 (Windsor, MA)",00,Total for all sectors,2016,8,24,263,1372
8610000US01301,01301,"ZIP 01301 (Greenfield, MA)",00,Total for all sectors,2016,556,8161,69459,288599
8610000US01302,01302,"ZIP 01302 (Greenfield, MA)",00,Total for all sectors,2016,22,409,5109,21320
8610000US01330,01330,"ZIP 01330 (Ashfield, MA)",00,Total for all sectors,2016,36,173,1598,7060
8610000US01331,01331,"ZIP 01331 (Athol, MA)",00,Total for all sectors,2016,211,2980,25846,110231
8610000US01337,01337,"ZIP 01337 (Bernardston, MA)",00,Total for all sectors,2016,47,412,2637,12643
8610000US01338,01338,"ZIP 01338 (Buckland, MA)",00,Total for all sectors,2016,13,40,383,1630
8610000US01339,01339,"ZIP 01339 (Charlemont, MA)",00,Total for all sectors,2016,31,315,1360,6939
8610000US01340,01340,"ZIP 01340 (Colrain, MA)",00,Total for all sectors,2016,18,91,1070,4064
8610000US01341,01341,"ZIP 01341 (Conway, MA)",00,Total for all sectors,2016,26,120,1025,4689
8610000US01342,01342,"ZIP 01342 (Deerfield, MA)",00,Total for all sectors,2016,27,879,8657,37182
8610000US01343,01343,"ZIP 01343 (Drury, MA)",00,Total for all sectors,2016,1,a,D,D
8610000US01344,01344,"ZIP 01344 (Erving, MA)",00,Total for all sectors,2016,21,270,2345,11532
8610000US01346,01346,"ZIP 01346 (Heath, MA)",00,Total for all sectors,2016,5,15,75,294
8610000US01347,01347,"ZIP 01347 (Lake Pleasant, MA)",00,Total for all sectors,2016,1,a,D,D
8610000US01349,01349,"ZIP 01349 (Millers Falls, MA)",00,Total for all sectors,2016,7,11,57,364
8610000US01350,01350,"ZIP 01350 (Monroe Bridge, MA)",00,Total for all sectors,2016,3,b,D,D
8610000US01351,01351,"ZIP 01351 (Montague, MA)",00,Total for all sectors,2016,30,112,769,3722
8610000US01354,01354,"ZIP 01354 (Gill, MA)",00,Total for all sectors,2016,22,296,1684,8015
8610000US01355,01355,"ZIP 01355 (New Salem, MA)",00,Total for all sectors,2016,20,75,518,2506
8610000US01360,01360,"ZIP 01360 (Northfield, MA)",00,Total for all sectors,2016,47,781,9172,35850
8610000US01364,01364,"ZIP 01364 (Orange, MA)",00,Total for all sectors,2016,134,1287,11221,49416
8610000US01366,01366,"ZIP 01366 (Petersham, MA)",00,Total for all sectors,2016,30,63,271,1336
8610000US01367,01367,"ZIP 01367 (Rowe, MA)",00,Total for all sectors,2016,6,63,1451,5445
8610000US01368,01368,"ZIP 01368 (Royalston, MA)",00,Total for all sectors,2016,9,37,146,681
8610000US01370,01370,"ZIP 01370 (Shelburne Falls, MA)",00,Total for all sectors,2016,114,532,3475,15634
8610000US01373,01373,"ZIP 01373 (South Deerfield, MA)",00,Total for all sectors,2016,143,2868,38220,154663
8610000US01375,01375,"ZIP 01375 (Sunderland, MA)",00,Total for all sectors,2016,54,714,8537,40432
8610000US01376,01376,"ZIP 01376 (Turners Falls, MA)",00,Total for all sectors,2016,97,1607,15594,64373
8610000US01378,01378,"ZIP 01378 (Warwick, MA)",00,Total for all sectors,2016,5,13,42,329
8610000US01379,01379,"ZIP 01379 (Wendell, MA)",00,Total for all sectors,2016,10,22,97,376
8610000US01380,01380,"ZIP 01380 (Wendell Depot, MA)",00,Total for all sectors,2016,2,a,D,D
8610000US01420,01420,"ZIP 01420 (Fitchburg, MA)",00,Total for all sectors,2016,765,10192,87807,377467
8610000US01430,01430,"ZIP 01430 (Ashburnham, MA)",00,Total for all sectors,2016,91,615,5612,23608
8610000US01431,01431,"ZIP 01431 (Ashby, MA)",00,Total for all sectors,2016,60,177,1428,6681
8610000US01432,01432,"ZIP 01432 (Ayer, MA)",00,Total for all sectors,2016,233,3692,49543,214242
8610000US01434,01434,"ZIP 01434 (Devens, MA)",00,Total for all sectors,2016,77,2860,49235,213501
8610000US01436,01436,"ZIP 01436 (Baldwinville, MA)",00,Total for all sectors,2016,34,458,5456,23346
8610000US01438,01438,"ZIP 01438 (East Templeton, MA)",00,Total for all sectors,2016,19,218,1789,11303
8610000US01440,01440,"ZIP 01440 (Gardner, MA)",00,Total for all sectors,2016,403,6736,61657,266149
8610000US01441,01441,"ZIP 01441 (Westminster, MA)",00,Total for all sectors,2016,10,f,D,D
8610000US01450,01450,"ZIP 01450 (Groton, MA)",00,Total for all sectors,2016,211,2067,18949,83832
8610000US01451,01451,"ZIP 01451 (Harvard, MA)",00,Total for all sectors,2016,132,675,10471,44796
8610000US01452,01452,"ZIP 01452 (Hubbardston, MA)",00,Total for all sectors,2016,49,287,2213,10045
8610000US01453,01453,"ZIP 01453 (Leominster, MA)",00,Total for all sectors,2016,1127,18451,167950,719199
8610000US01460,01460,"ZIP 01460 (Littleton, MA)",00,Total for all sectors,2016,318,7816,176040,702597
8610000US01462,01462,"ZIP 01462 (Lunenburg, MA)",00,Total for all sectors,2016,212,1878,16638,78563
8610000US01463,01463,"ZIP 01463 (Pepperell, MA)",00,Total for all sectors,2016,208,1379,13012,59600
8610000US01464,01464,"ZIP 01464 (Shirley, MA)",00,Total for all sectors,2016,121,1439,17691,79788
8610000US01467,01467,"ZIP 01467 (Still River, MA)",00,Total for all sectors,2016,9,33,264,1277
8610000US01468,01468,"ZIP 01468 (Templeton, MA)",00,Total for all sectors,2016,61,289,2313,11125
8610000US01469,01469,"ZIP 01469 (Townsend, MA)",00,Total for all sectors,2016,129,1358,11319,48973
8610000US01471,01471,"ZIP 01471 (Groton, MA)",00,Total for all sectors,2016,3,e,D,D
8610000US01472,01472,"ZIP 01472 (West Groton, MA)",00,Total for all sectors,2016,10,373,6192,22447
8610000US01473,01473,"ZIP 01473 (Westminster, MA)",00,Total for all sectors,2016,167,1369,15603,68228
8610000US01474,01474,"ZIP 01474 (West Townsend, MA)",00,Total for all sectors,2016,27,121,881,4138
8610000US01475,01475,"ZIP 01475 (Winchendon, MA)",00,Total for all sectors,2016,143,1156,8064,34202
8610000US01477,01477,"ZIP 01477 (Winchendon Springs, MA)",00,Total for all sectors,2016,1,a,D,D
8610000US01501,01501,"ZIP 01501 (Auburn, MA)",00,Total for all sectors,2016,597,11078,108390,468468
8610000US01503,01503,"ZIP 01503 (Berlin, MA)",00,Total for all sectors,2016,81,373,3170,15866
8610000US01504,01504,"ZIP 01504 (Blackstone, MA)",00,Total for all sectors,2016,132,768,6326,28653
8610000US01505,01505,"ZIP 01505 (Boylston, MA)",00,Total for all sectors,2016,123,1343,14816,67786
8610000US01506,01506,"ZIP 01506 (Brookfield, MA)",00,Total for all sectors,2016,42,158,1030,4557
8610000US01507,01507,"ZIP 01507 (Charlton, MA)",00,Total for all sectors,2016,235,2122,22294,99940
8610000US01508,01508,"ZIP 01508 (Charlton City, MA)",00,Total for all sectors,2016,23,327,1788,8817
8610000US01509,01509,"ZIP 01509 (Charlton Depot, MA)",00,Total for all sectors,2016,4,13,142,837
8610000US01510,01510,"ZIP 01510 (Clinton, MA)",00,Total for all sectors,2016,244,3384,40053,174017
8610000US01515,01515,"ZIP 01515 (East Brookfield, MA)",00,Total for all sectors,2016,43,451,3181,13927
8610000US01516,01516,"ZIP 01516 (Douglas, MA)",00,Total for all sectors,2016,127,755,6663,31614
8610000US01518,01518,"ZIP 01518 (Fiskdale, MA)",00,Total for all sectors,2016,63,546,5049,23579
8610000US01519,01519,"ZIP 01519 (Grafton, MA)",00,Total for all sectors,2016,101,1276,14048,62644
8610000US01520,01520,"ZIP 01520 (Holden, MA)",00,Total for all sectors,2016,280,3065,27767,122214
8610000US01521,01521,"ZIP 01521 (Holland, MA)",00,Total for all sectors,2016,19,69,409,1711
8610000US01522,01522,"ZIP 01522 (Jefferson, MA)",00,Total for all sectors,2016,33,117,767,4294
8610000US01523,01523,"ZIP 01523 (Lancaster, MA)",00,Total for all sectors,2016,124,2324,27618,111474
8610000US01524,01524,"ZIP 01524 (Leicester, MA)",00,Total for all sectors,2016,108,1313,8365,36542
8610000US01525,01525,"ZIP 01525 (Linwood, MA)",00,Total for all sectors,2016,22,197,1683,7848
8610000US01526,01526,"ZIP 01526 (Manchaug, MA)",00,Total for all sectors,2016,10,49,445,1458
8610000US01527,01527,"ZIP 01527 (Millbury, MA)",00,Total for all sectors,2016,301,4669,39509,174795
8610000US01529,01529,"ZIP 01529 (Millville, MA)",00,Total for all sectors,2016,30,88,708,3512
8610000US01531,01531,"ZIP 01531 (New Braintree, MA)",00,Total for all sectors,2016,18,34,230,1423
8610000US01532,01532,"ZIP 01532 (Northborough, MA)",00,Total for all sectors,2016,503,8704,99025,413701
8610000US01534,01534,"ZIP 01534 (Northbridge, MA)",00,Total for all sectors,2016,71,852,8678,40069
8610000US01535,01535,"ZIP 01535 (North Brookfield, MA)",00,Total for all sectors,2016,76,734,8474,32367
8610000US01536,01536,"ZIP 01536 (North Grafton, MA)",00,Total for all sectors,2016,144,1885,26314,112321
8610000US01537,01537,"ZIP 01537 (North Oxford, MA)",00,Total for all sectors,2016,66,806,8805,39299
8610000US01538,01538,"ZIP 01538 (North Uxbridge, MA)",00,Total for all sectors,2016,15,127,1067,4453
8610000US01540,01540,"ZIP 01540 (Oxford, MA)",00,Total for all sectors,2016,236,4551,61437,247008
8610000US01541,01541,"ZIP 01541 (Princeton, MA)",00,Total for all sectors,2016,70,1273,4687,18632
8610000US01542,01542,"ZIP 01542 (Rochdale, MA)",00,Total for all sectors,2016,34,457,6651,24496
8610000US01543,01543,"ZIP 01543 (Rutland, MA)",00,Total for all sectors,2016,117,940,8006,37937
8610000US01545,01545,"ZIP 01545 (Shrewsbury, MA)",00,Total for all sectors,2016,801,11363,119063,508524
8610000US01550,01550,"ZIP 01550 (Southbridge, MA)",00,Total for all sectors,2016,317,5396,55286,226164
8610000US01560,01560,"ZIP 01560 (South Grafton, MA)",00,Total for all sectors,2016,60,340,4320,19350
